scenario_id,destination,data_grade,approved,purpose,role,device_trust,source_object_id,content_json,expected_broad_policy,expected_finegrained_policy,mode,experiment_run_id,run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,1,C01-r001,200,allow,allow,true,12.735200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,2,C01-r002,200,allow,allow,true,7.272100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,3,C01-r003,200,allow,allow,true,8.043800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,4,C01-r004,200,allow,allow,true,7.126600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,5,C01-r005,200,allow,allow,true,7.062300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,6,C01-r006,200,allow,allow,true,10.228400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,7,C01-r007,200,allow,allow,true,8.032700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,8,C01-r008,200,allow,allow,true,8.703800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,9,C01-r009,200,allow,allow,true,6.856800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,10,C01-r010,200,allow,allow,true,6.452200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,11,C01-r011,200,allow,allow,true,6.301700,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,12,C01-r012,200,allow,allow,true,7.879500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,13,C01-r013,200,allow,allow,true,6.622500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,14,C01-r014,200,allow,allow,true,7.560600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,15,C01-r015,200,allow,allow,true,7.160000,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,16,C01-r016,200,allow,allow,true,6.548900,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,17,C01-r017,200,allow,allow,true,6.649200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,18,C01-r018,200,allow,allow,true,6.860800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,19,C01-r019,200,allow,allow,true,6.862800,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,20,C01-r020,200,allow,allow,true,7.457600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,21,C01-r021,200,allow,allow,true,6.839600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,22,C01-r022,200,allow,allow,true,6.834200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,23,C01-r023,200,allow,allow,true,5.993400,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,24,C01-r024,200,allow,allow,true,6.299200,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,25,C01-r025,200,allow,allow,true,8.733600,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,26,C01-r026,200,allow,allow,true,7.432500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,27,C01-r027,200,allow,allow,true,8.830100,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,28,C01-r028,200,allow,allow,true,6.181500,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,29,C01-r029,200,allow,allow,true,5.642300,
C01,public,O,true,public_disclosure,publisher,trusted,OBJ-O-001,"{""statistic"": ""aggregate delinquency rate"", ""value"": 3.2}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,30,C01-r030,200,allow,allow,true,8.154400,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,1,C02-r001,200,allow,allow,true,5.965300,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,2,C02-r002,200,allow,allow,true,7.943500,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,3,C02-r003,200,allow,allow,true,6.124000,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,4,C02-r004,200,allow,allow,true,7.731600,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,5,C02-r005,200,allow,allow,true,6.101400,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,6,C02-r006,200,allow,allow,true,6.376600,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,7,C02-r007,200,allow,allow,true,6.316700,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,8,C02-r008,200,allow,allow,true,8.076900,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,9,C02-r009,200,allow,allow,true,7.222300,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,10,C02-r010,200,allow,allow,true,6.487300,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,11,C02-r011,200,allow,allow,true,8.720600,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,12,C02-r012,200,allow,allow,true,8.368000,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,13,C02-r013,200,allow,allow,true,5.587300,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,14,C02-r014,200,allow,allow,true,7.294100,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,15,C02-r015,200,allow,allow,true,8.013600,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,16,C02-r016,200,allow,allow,true,7.546700,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,17,C02-r017,200,allow,allow,true,6.408800,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,18,C02-r018,200,allow,allow,true,6.141400,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,19,C02-r019,200,allow,allow,true,7.638600,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,20,C02-r020,200,allow,allow,true,6.127000,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,21,C02-r021,200,allow,allow,true,5.489400,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,22,C02-r022,200,allow,allow,true,8.415400,
C02,external_ai,O,true,approved_ai_use,ai_user,trusted,OBJ-O-002,"{""task"": ""summarize approved public report""}",allow,allow,segmentation_only,segmentation_only-20260814T155332Z,23,C02-r023,200,allow,allow,true,6.936700,
